timestamp,invalid_x,global_vision_vx,invalid_y,global_vision_vy,t_s,global_vision_speed
1781277525327.0,-491.08,-0.31757,871.114,-1.72258,0.893,1.751608563949149
1781277525342.0,-488.468,-0.825617,872.582,-1.83272,0.908,2.010100999723397
1781277525358.0,-491.881,-0.653485,870.662,-1.68351,0.924,1.8058927336154271
1781277525377.0,-490.337,0.727662,871.533,-3.86913,0.943,3.9369606225036087
1781277525383.0,-492.643,2.54268,870.231,-1.70583,0.949,3.0618748457930147
1781277525393.0,-489.017,0.56657,872.274,-0.702417,0.959,0.9024362618983127
1781277525410.0,-490.673,-0.467653,871.344,-0.527162,0.976,0.7046978804090445
1781277525427.0,-488.22,-0.376073,872.72,-0.52509,0.993,0.6458718212068087
1781277525434.0,-489.275,0.212445,872.129,1.84348,1.0,1.855680842285386
1781277525447.0,-491.228,-0.0116855,871.031,2.16838,1.013,2.1684114866210815
1781277525462.0,-493.188,-1.01407,869.923,1.22604,1.028,1.5910726088082845
1781277525476.0,-491.105,0.487514,871.1,2.5343,1.042,2.580764690977463
1781277525493.0,-493.047,-1.61447,870.002,3.23975,1.059,3.619736653874146
1781277525509.0,-488.725,-0.169093,872.438,3.88102,1.075,3.8847018782718705
1781277525517.0,-489.234,-0.476503,872.152,3.20702,1.083,3.2422264556025384
1781277525530.0,-487.136,-0.803153,873.326,1.41844,1.096,1.6300388875756922
1781277525542.0,-488.217,-1.11453,872.722,0.0191501,1.108,1.1146945084775515
1781277525561.0,-485.875,-1.03827,874.028,0.404631,1.127,1.1143297712351583
1781277525574.0,-487.139,-1.53118,873.324,-0.168901,1.14,1.5404673771946615
1781277525583.0,-482.83,-1.85638,875.714,-0.55703,1.149,1.9381509552405871
1781277525595.0,-483.18,-1.22721,875.521,1.743,1.161,2.131687919020981
1781277525610.0,-482.56,-0.361161,875.863,0.867863,1.176,0.9400124758161458
1781277525625.0,-488.183,-1.52915,872.741,0.165753,1.191,1.5381072067671355
1781277525643.0,-487.349,0.167463,873.207,-0.607107,1.209,0.6297799344358312
1781277525660.0,-490.162,1.97024,871.631,-0.482858,1.226,2.028545662725885
1781277525668.0,-487.76,0.727519,872.978,-0.97625,1.234,1.2175171283645252
1781277525678.0,-489.001,2.30742,872.283,-1.59145,1.244,2.803016260905384
1781277525692.0,-489.123,0.585981,872.215,-0.502946,1.258,0.7722230320814059
1781277525709.0,-493.003,-0.328079,870.027,0.778788,1.275,0.8450719372840397
1781277525726.0,-488.801,0.684821,872.395,0.725469,1.292,0.9976397506124143
1781277525742.0,-492.429,0.724207,870.352,-0.308831,1.308,0.7873070337612894
1781277525759.0,-489.715,-0.393642,871.883,-0.420304,1.325,0.5758554302774265
1781277525767.0,-492.426,-0.996629,870.354,-0.85786,1.333,1.3149878871080904
1781277525775.0,-492.135,-1.49701,870.519,-0.72442,1.341,1.663076449385295
1781277525792.0,-495.497,-0.0911687,868.609,-1.75533,1.358,1.757695975064997
1781277525808.0,-492.736,0.0266219,870.179,0.138418,1.374,0.14095484483908316
1781277525816.0,-493.756,-0.718547,869.601,1.8381,1.382,1.9735555227074308
1781277525827.0,-491.168,2.64496,871.065,0.690397,1.393,2.7335803297523564
1781277525843.0,-490.7,3.74324,871.328,0.841897,1.409,3.836748135623317
1781277525859.0,-489.803,4.38796,871.833,0.137061,1.425,4.3901000762307225
1781277525876.0,-492.28,3.38819,870.437,-0.853848,1.442,3.494121904456683
1781277525882.0,-489.527,4.9814,871.988,-0.86297,1.448,5.055597213079776
1781277525895.0,-493.223,4.7267,869.903,-1.41091,1.461,4.932784195370805
1781277525911.0,-490.319,3.64474,871.543,-1.87046,1.477,4.096675515488138
1781277525926.0,-492.632,2.94346,870.238,-2.52177,1.492,3.87598770695935
1781277525944.0,-491.38,2.42821,870.945,-2.275,1.51,3.327435770093842
1781277525952.0,-493.162,1.0926,869.937,-1.24824,1.518,1.6588784939229275
1781277525964.0,-489.706,0.0522949,871.887,-0.401289,1.53,0.40468211980146834
1781277525976.0,-490.845,1.1806,871.247,-1.79489,1.542,2.1483590184370955
1781277525993.0,-489.165,1.79131,872.191,0.167362,1.559,1.799111323721798
1781277526009.0,-487.579,1.16852,873.079,2.81667,1.575,3.0494374693211856
1781277526015.0,-485.2,-0.267731,874.403,1.12858,1.581,1.1599020237765774
1781277526028.0,-488.944,-0.246692,872.315,1.76694,1.594,1.7840778868827447
1781277526042.0,-487.723,-2.42101,872.998,1.45718,1.608,2.8257145950184
1781277526059.0,-491.667,-1.84075,870.783,0.659047,1.625,1.9551735244496844
1781277526076.0,-489.059,-1.98639,872.251,0.238283,1.642,2.0006309055368012
1781277526092.0,-491.252,-3.95966,871.017,0.542743,1.658,3.9966832848812275
1781277526101.0,-487.92,-5.13748,872.888,0.690314,1.667,5.18365066039331
1781277526111.0,-491.23,-3.05229,871.03,0.275578,1.677,3.0647051209184877
1781277526125.0,-489.359,-4.03296,872.082,-0.519385,1.691,4.066266978424436
1781277526142.0,-490.326,-4.04774,871.539,0.247539,1.708,4.055302043513035
1781277526158.0,-486.886,-3.49235,873.466,0.254096,1.724,3.501581542634128
1781277526166.0,-489.573,-2.58194,871.962,-1.0668,1.732,2.7936492986056787
1781277526177.0,-488.771,0.253547,872.412,-1.56065,1.743,1.5811117935519299
1781277526191.0,-490.329,-0.431971,871.537,-2.82045,1.757,2.853337895753148
1781277526209.0,-488.189,0.215411,872.738,-1.79947,1.775,1.812317350747655
1781277526226.0,-489.464,-0.200669,872.024,0.467311,1.792,0.5085741030390754
1781277526232.0,-490.289,0.78136,871.56,-0.716941,1.798,1.060437573401188
1781277526244.0,-490.811,1.21728,871.266,-0.41293,1.81,1.2854111339567587
1781277526261.0,-489.669,2.55533,871.908,0.0837596,1.827,2.5567023838319862
1781277526275.0,-491.908,2.19294,870.647,1.18514,1.841,2.492697868414863
1781277526292.0,-491.709,1.90376,870.76,0.15274,1.858,1.909877390096024
1781277526309.0,-495.72,1.43346,868.482,0.463001,1.875,1.5063789355938964
1781277526317.0,-493.394,1.00986,869.806,0.714041,1.883,1.236799001164296
1781277526329.0,-495.572,0.477425,868.567,-0.361214,1.895,0.598673687764044
1781277526344.0,-487.757,2.23315,872.979,1.60371,1.91,2.749335317235786
1781277526360.0,-491.526,0.957003,870.863,2.01872,1.926,2.234073673899095
1781277526375.0,-491.903,0.240195,870.65,1.36634,1.941,1.3872918343394802
1781277526391.0,-495.152,-0.56547,868.806,0.96932,1.957,1.1222021133913445
1781277526399.0,-491.621,-0.878772,870.809,-1.92141,1.965,2.112831421596148
1781277526410.0,-492.745,-1.11713,870.173,-1.329,1.976,1.7361510409235712
1781277526427.0,-491.782,-0.564358,870.718,-1.25625,1.993,1.3771942545131388
1781277526443.0,-491.921,1.3142,870.64,-2.93371,2.009,3.2146191071571764
1781277526459.0,-489.441,1.77784,872.036,-3.72362,2.025,4.126264772163803
1781277526468.0,-491.553,0.469746,870.848,-4.59933,2.034,4.623256185137916
1781277526478.0,-489.328,0.703176,872.1,-5.20023,2.044,5.247556435130164
1781277526492.0,-491.902,-1.3089,870.651,-3.03566,2.058,3.305820752188479
1781277526511.0,-489.451,-3.43086,872.031,-0.730919,2.077,3.507854461656156
1781277526517.0,-491.908,-2.23437,870.647,0.154281,2.083,2.239690140144614
1781277526530.0,-488.608,-2.88775,872.503,1.30173,2.096,3.1675859981064445
1781277526542.0,-491.933,-2.30807,870.633,2.52057,2.108,3.4176688326694262
1781277526558.0,-489.557,-1.43413,871.971,2.35766,2.124,2.759581405304073
1781277526575.0,-490.541,-2.35408,871.418,0.706724,2.141,2.4578753952501335
1781277526592.0,-489.46,-2.96212,872.026,-0.51873,2.158,3.0071973176531004
1781277526600.0,-492.67,-1.13028,870.216,0.728259,2.166,1.3445795065673878
1781277526610.0,-489.005,-3.28426,872.281,0.229885,2.176,3.292295682472187
1781277526626.0,-493.304,-1.47889,869.857,1.04202,2.192,1.8091216964317243
1781277526643.0,-492.34,0.0711609,870.403,0.749105,2.209,0.7524773582731975
1781277526660.0,-491.822,2.71408,870.696,3.82287,2.226,4.688343554316386
1781277526666.0,-489.835,3.896,871.815,2.37898,2.232,4.564905457991435
1781277526679.0,-491.801,3.53741,870.708,-0.0215199,2.245,3.537475457751758
1781277526693.0,-487.974,3.27716,872.858,-1.30713,2.259,3.5282242704369002
1781277526709.0,-489.197,2.93241,872.173,-2.18722,2.275,3.6582727804935486
1781277526726.0,-486.054,2.0481,873.929,-2.73051,2.292,3.413268004435046
1781277526742.0,-488.043,2.21566,872.82,-1.26879,2.308,2.553228798932834
1781277526750.0,-486.085,0.950985,873.911,-1.03634,2.316,1.40654650325718
1781277526760.0,-489.324,-0.0431145,872.102,-0.797303,2.326,0.798467866553971
1781277526775.0,-487.96,-1.11147,872.866,-0.147068,2.341,1.1211576862885968
1781277526791.0,-490.304,-1.92051,871.551,-0.694685,2.357,2.0422893794281456
1781277526808.0,-491.03,-0.23805,871.143,0.000375761,2.374,0.23805029656845447
1781277526816.0,-494.234,0.533574,869.329,-0.598698,2.382,0.8019604159059224
1781277526826.0,-493.755,0.0808449,869.601,-1.1545,2.392,1.1573271567953507
1781277526843.0,-495.704,-1.26441,868.491,-0.226176,2.409,1.2844797511350656
1781277526859.0,-490.702,-1.58235,871.327,0.183109,2.425,1.592909422528789
1781277526876.0,-492.518,-0.925575,870.302,1.28987,2.442,1.587593681495678
1781277526882.0,-491.733,0.536299,870.746,0.727701,2.448,0.9039719922663534
1781277526894.0,-491.97,0.558581,870.612,1.39281,2.46,1.500644004972865
1781277526909.0,-489.243,1.01272,872.147,1.95949,2.475,2.205720485124985
1781277526926.0,-491.009,0.506746,871.155,2.87175,2.492,2.9161172080381133
1781277526942.0,-491.292,-1.21651,870.995,2.33706,2.508,2.634719344389455
1781277526950.0,-493.223,-1.09212,869.903,2.59158,2.516,2.8122967465756523
1781277526962.0,-490.591,0.439416,871.39,2.92386,2.528,2.9566947290269923
1781277526975.0,-492.82,2.53903,870.131,1.33858,2.541,2.8702734638532266
1781277526991.0,-490.385,0.189678,871.506,1.30644,2.557,1.3201375751352584
1781277527008.0,-495.317,-0.768746,868.712,1.27036,2.574,1.4848518249697509
1781277527024.0,-490.844,-0.468983,871.247,0.124108,2.59,0.4851266329042346
1781277527032.0,-493.147,-0.00312769,869.946,-1.18657,2.598,1.1865741221452353
1781277527043.0,-489.437,-0.803605,872.039,-3.38228,2.609,3.4764348108982284
1781277527059.0,-492.058,-0.780019,870.562,-3.75155,2.625,3.831782488980944
1781277527076.0,-488.345,1.75916,872.651,-2.64515,2.642,3.1767062231342704
1781277527093.0,-491.714,1.94388,870.757,-2.16229,2.659,2.9076051139210772
1781277527100.0,-488.629,1.24305,872.492,-0.193242,2.666,1.2579808317553969
1781277527111.0,-489.201,1.00292,872.171,-1.03535,2.677,1.4414569535369415
1781277527125.0,-488.345,0.388628,872.651,-0.869625,2.691,0.9525121327358512
1781277527142.0,-491.662,-1.93506,870.786,-0.00565873,2.708,1.9350682739441554
1781277527158.0,-489.483,-0.652356,872.013,2.02456,2.724,2.1270664174717253
1781277527166.0,-490.242,0.530529,871.586,1.53251,2.732,1.6217422483061235
1781277527178.0,-489.893,-2.4235,871.782,1.68186,2.744,2.949916152977911
1781277527191.0,-492.881,-3.26515,870.097,2.40216,2.757,4.053588186792043
1781277527207.0,-488.937,-0.591716,872.319,0.457166,2.773,0.7477490061591523
1781277527226.0,-492.416,-2.51405,870.36,0.202816,2.792,2.522217621926387
1781277527232.0,-489.363,-2.05751,872.08,-1.4849,2.798,2.53737569352668
1781277527248.0,-491.202,-0.773969,871.045,-0.394663,2.814,0.8687847239276253
1781277527261.0,-489.743,-0.147868,871.867,-1.56003,2.827,1.567022190756723
1781277527275.0,-491.791,-0.219642,870.713,-1.56921,2.841,1.5845070628634006
1781277527292.0,-488.053,-0.485226,872.814,-2.75486,2.858,2.797266145842401
1781277527308.0,-490.607,-0.322918,871.381,0.543431,2.874,0.6321339149934925
1781277527316.0,-488.264,-1.14078,872.696,0.0473169,2.882,1.1417608757641022
1781277527327.0,-490.426,0.00963509,871.483,-1.08511,2.893,1.085152775907295
1781277527341.0,-489.621,-0.937885,871.935,0.884732,2.907,1.2893327673835797
1781277527358.0,-491.52,-0.538256,870.866,0.744547,2.924,0.9187326905825219
1781277527374.0,-489.573,-1.53153,871.962,1.45688,2.94,2.113784160055137
1781277527383.0,-490.207,-1.92182,871.606,0.582444,2.949,2.0081417095255008
1781277527395.0,-487.898,0.915195,872.9,0.177267,2.961,0.9322046327464802
1781277527408.0,-488.888,1.14302,872.346,0.738008,2.974,1.360569927811136
1781277527426.0,-486.481,0.772593,873.691,0.733927,2.992,1.065621314059549
1781277527443.0,-488.587,2.41191,872.515,0.483397,3.009,2.4598744902350203
1781277527459.0,-487.474,3.03346,873.137,-1.68981,3.025,3.4723676947725455
1781277527467.0,-489.555,3.43521,871.972,-1.0982,3.033,3.6064818014375173
1781277527478.0,-486.816,3.58625,873.504,-0.571274,3.044,3.631465688337975
1781277527492.0,-488.58,2.06375,872.519,-1.08851,3.058,2.3332205387832503
1781277527509.0,-487.434,1.75006,873.16,-1.60619,3.075,2.375406558823142
1781277527517.0,-489.462,1.42529,872.025,-1.90076,3.083,2.3757820105598917
1781277527529.0,-487.061,0.178534,873.368,-1.2968,3.095,1.309031943520096
1781277527546.0,-490.295,-1.02939,871.556,-1.30893,3.112,1.6652151563686897
1781277527558.0,-488.866,-1.39713,872.359,-0.850966,3.124,1.6358836664188563
1781277527574.0,-492.245,-1.63819,870.456,-0.441315,3.14,1.696592292015085
1781277527591.0,-491.067,0.126035,871.122,0.891477,3.157,0.9003421920325627
1781277527599.0,-495.165,0.693297,868.799,1.55059,3.165,1.6985258544717534
1781277527609.0,-491.653,-1.19249,870.791,1.40322,3.175,1.8414827635631021
1781277527626.0,-492.605,0.319252,870.253,0.103966,3.192,0.335754029998152
1781277527642.0,-486.934,0.127427,873.439,0.269971,3.208,0.2985330487065042
1781277527658.0,-489.884,-0.868259,871.788,-0.429182,3.224,0.9685405929567433
1781277527675.0,-485.067,-2.07787,874.477,0.397819,3.241,2.1156095324187305
1781277527681.0,-489.32,-0.297225,872.104,-0.282659,3.247,0.4101692466604487
1781277527692.0,-488.312,0.854392,872.669,1.54937,3.258,1.7693312540516541
1781277527708.0,-491.21,1.43087,871.041,3.63804,3.274,3.909312471330477
1781277527725.0,-489.097,1.76664,872.229,5.0807,3.291,5.3790825778751525
1781277527741.0,-491.423,1.83645,870.921,3.73208,3.307,4.15944343980057
1781277527749.0,-491.788,0.83713,870.715,0.266692,3.315,0.878584805106485
1781277527759.0,-494.002,-1.45515,869.46,0.445928,3.325,1.521943922647612
1781277527774.0,-492.384,-1.70458,870.378,-0.453402,3.34,1.763849866061168
1781277527792.0,-493.808,-3.88842,869.571,-0.842002,3.358,3.978539614532448
1781277527809.0,-492.183,-2.76929,870.492,-0.330158,3.375,2.7889014699454693
1781277527825.0,-492.691,-0.847309,870.204,-1.11088,3.391,1.397135253252526
1781277527831.0,-487.466,-1.02336,873.142,-0.734875,3.397,1.259883707024184
1781277527842.0,-488.399,1.59654,872.62,0.254501,3.408,1.6166974765245972
1781277527858.0,-484.345,0.349321,874.877,1.47319,3.424,1.5140389483566794
1781277527875.0,-488.803,1.01669,872.394,1.60208,3.441,1.8974506271573972
1781277527883.0,-487.042,2.50927,873.378,1.65353,3.449,3.0050952387237246
1781277527893.0,-488.823,3.07613,872.383,2.28048,3.459,3.829251207129143
1781277527908.0,-487.979,2.29743,872.855,2.13506,3.474,3.136345932530402
1781277527924.0,-489.998,2.44869,871.723,0.84543,3.49,2.5905278614598997
1781277527941.0,-487.33,2.16959,873.218,0.823411,3.507,2.320587521086201
1781277527949.0,-490.613,1.86488,871.377,0.799473,3.515,2.0290230388364248
1781277527961.0,-489.314,-0.176983,872.108,0.861839,3.527,0.879823530152496
1781277527976.0,-491.153,0.112944,871.073,-0.0213563,3.542,0.11494537261538632
1781277527992.0,-491.375,1.30697,870.948,0.189075,3.558,1.3205756080304527
1781277528009.0,-494.126,0.311488,869.39,1.25227,3.575,1.290428195229785
1781277528017.0,-487.949,0.513545,872.872,2.1939,3.583,2.253203425575463
1781277528029.0,-489.773,0.63475,871.85,2.83627,3.595,2.9064299536372795
1781277528042.0,-487.176,0.0321017,873.304,1.0897,3.608,1.0901727427994565
1781277528058.0,-487.763,-1.35997,872.976,0.902394,3.624,1.6321254033118902
1781277528075.0,-485.687,-2.40165,874.133,-1.19153,3.641,2.6809823690953287
1781277528091.0,-488.007,-2.22267,872.839,-2.02884,3.657,3.009394237134776
1781277528101.0,-486.769,-1.09692,873.531,-1.15524,3.667,1.5930514567960445
1781277528114.0,-489.947,-2.72904,871.752,1.09816,3.68,2.941702688444228
1781277528126.0,-488.658,-3.03235,872.475,0.0820911,3.692,3.0334609724206456
1781277528140.0,-492.163,-3.22811,870.503,-1.08274,3.706,3.4048524314131443
1781277528159.0,-488.264,-1.35568,872.696,-0.651066,3.725,1.50391329495952
1781277528167.0,-491.313,-1.08589,870.983,-0.7793,3.733,1.3365872893679633
1781277528177.0,-489.998,-0.203369,871.724,-1.98023,3.743,1.990645574445888
1781277528192.0,-492.369,0.548413,870.386,-1.94879,3.758,2.0244849425641576
1781277528209.0,-490.731,1.25992,871.311,-1.99979,3.775,2.363590161280081
1781277528225.0,-491.166,0.326718,871.066,0.834545,3.791,0.8962198438714689
1781277528241.0,-491.423,-0.666121,870.921,1.3443,3.807,1.500286531513564
1781277528249.0,-492.29,-0.164619,870.431,0.247945,3.815,0.29761743595764006
1781277528260.0,-490.048,-1.05954,871.695,-0.436696,3.826,1.1460054136067594
1781277528274.0,-490.837,0.523671,871.251,0.0613639,3.84,0.5272540606426943
1781277528291.0,-486.723,1.62763,873.556,2.92549,3.857,3.3477860082448516
1781277528309.0,-487.581,1.80483,873.078,0.370765,3.875,1.8425194745578675
1781277528326.0,-486.051,0.528909,873.93,-0.252521,3.892,0.5860986143320933
1781277528332.0,-488.216,0.941973,872.723,0.55131,3.898,1.0914466770433633
1781277528342.0,-487.664,2.25982,873.031,-3.24544,3.908,3.954701913671876
1781277528359.0,-490.379,2.09461,871.509,-2.6258,3.925,3.358901113772181
1781277528375.0,-488.451,0.664878,872.591,-1.51551,3.941,1.6549420881058043
1781277528381.0,-490.944,1.68411,871.191,-1.87926,3.947,2.523458864277363
1781277528394.0,-487.199,-1.22547,873.291,-1.22717,3.96,1.7342787924091099
1781277528408.0,-490.147,-2.25845,871.639,-2.87192,3.974,3.653562766519825
1781277528425.0,-487.519,-1.61362,873.112,-2.3996,3.991,2.8916863011744547
1781277528441.0,-489.82,-1.40982,871.824,-2.1391,4.007,2.5619018799321727
1781277528449.0,-487.361,-2.19563,873.2,-0.304317,4.015,2.2166190320821935
1781277528462.0,-490.296,2.4456,871.556,0.497283,4.028,2.4956461572284243
1781277528476.0,-489.943,3.36932,871.754,-0.410198,4.042,3.394197940840222
