time_ms,target_vx,target_vy,target_vr,planned_vx,planned_vy,optflow_body_vx,optflow_body_vy,optflow_kf_vx,optflow_kf_vy,wheel_chassis_vx,wheel_chassis_vy,fused_chassis_vx,fused_chassis_vy,raw_vision_vel_x,raw_vision_vel_y,vision_source,odom_vx,odom_vy
390509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
390709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
390719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
