axis,signal,MAE_vs_target,RMSE_vs_target,max_abs_error
vx,optflow_kf_vx,0.4070058173759479,1.6782591161365579,9.422
vx,wheel_chassis_vx,0.3791075175733232,1.4494461631682383,10.805
vx,fused_chassis_vx,0.3952779528377022,1.5439197720554385,10.241
vx,optflow_body_vx,0.40453554485958654,1.6746044317714819,9.409
vy,optflow_kf_vy,0.018624675369645766,0.12015662239884532,4.544
vy,wheel_chassis_vy,0.05305003635859967,0.24129166079692327,2.84
vy,fused_chassis_vy,0.028859932823158695,0.11511161220596286,1.817
vy,optflow_body_vy,0.017768205270265593,0.12397072172719864,4.905
