time_ms,target_vx,target_vy,target_vr,optflow_body_vx,optflow_body_vy,optflow_kf_vx,optflow_kf_vy,wheel_chassis_vx,wheel_chassis_vy,fused_chassis_vx,fused_chassis_vy,odom_vx,odom_vy
3969396,0,0,0,0,0,0,0,0,0,0,0,0,0
3969406,0,0,0,0,0,0,0,0,0,0,0,0,0
3969416,0,0,0,0,0,0,0,0,0,0,0,0,0
3969426,0,0,0,0,0,0,0,0,0,0,0,0,0
3969436,0,0,0,0,0,0,0,0,0,0,0,0,0
3969446,0,0,0,0,0,0,0,0,0,0,0,0,0
3969456,0,0,0,0,0,0,0,0,0,0,0,0,0
3969466,0,0,0,0,0,0,0,0,0,0,0,0,0
3969476,0,0,0,0,0,0,0,0,0,0,0,0,0
3969486,0,0,0,0,0,0,0,0,0,0,0,0,0
3969496,0,0,0,0,0,0,0,0,0,0,0,0,0
3969506,0,0,0,0,0,0,0,0,0,0,0,0,0
3969516,0,0,0,0,0,0,0,0,0,0,0,0,0
3969526,0,0,0,0,0,0,0,0,0,0,0,0,0
3969536,0,0,0,0,0,0,0,0,0,0,0,0,0
3969546,0,0,0,0,0,0,0,0,0,0,0,0,0
3969556,0,0,0,0,0,0,0,0,0,0,0,0,0
3969566,0,0,0,0,0,0,0,0,0,0,0,0,0
3969576,0,0,0,0,0,0,0,0,0,0,0,0,0
3969586,0,0,0,0,0,0,0,0,0,0,0,0,0
3969596,0,0,0,0,0,0,0,0,0,0,0,0,0
3969606,0,0,0,0,0,0,0,0,0,0,0,0,0
3969616,0,0,0,0,0,0,0,0,0,0,0,0,0
3969626,0,0,0,0,0,0,0,0,0,0,0,0,0
3969636,0,0,0,0,0,0,0,0,0,0,0,0,0
3969646,0,0,0,0,0,0,0,0,0,0,0,0,0
3969656,0,0,0,0,0,0,0,0,0,0,0,0,0
3969666,0,0,0,0,0,0,0,0,0,0,0,0,0
3969676,0,0,0,0,0,0,0,0,0,0,0,0,0
3969686,0,0,0,0,0,0,0,0,0,0,0,0,0
3969696,0,0,0,0,0,0,0,0,0,0,0,0,0
3969706,0,0,0,0,0,0,0,0,0,0,0,0,0
3969716,0,0,0,0,0,0,0,0,0,0,0,0,0
3969726,0,0,0,0,0,0,0,0,0,0,0,0,0
3969736,0,0,0,0,0,0,0,0,0,0,0,0,0
3969746,0,0,0,0,0,0,0,0,0,0,0,0,0
3969756,0,0,0,0,0,0,0,0,0,0,0,0,0
3969766,0,0,0,0,0,0,0,0,0,0,0,0,0
3969776,0,0,0,0,0,0,0,0,0,0,0,0,0
3969786,0,0,0,0,0,0,0,0,0,0,0,0,0
3969796,0,0,0,0,0,0,0,0,0,0,0,0,0
3969806,0,0,0,0,0,0,0,0,0,0,0,0,0
3969816,0,0,0,0,0,0,0,0,0,0,0,0,0
3969826,0,0,0,0,0,0,0,0,0,0,0,0,0
3969836,0,0,0,0,0,0,0,0,0,0,0,0,0
3969846,0,0,0,0,0,0,0,0,0,0,0,0,0
3969856,0,0,0,0,0,0,0,0,0,0,0,0,0
3969866,0,0,0,0,0,0,0,0,0,0,0,0,0
3969876,0,0,0,0,0,0,0,0,0,0,0,0,0
3969886,0,0,0,0,0,0,0,0,0,0,0,0,0
3969896,0,0,0,0,0,0,0,0,0,0,0,0,0
3969906,0,0,0,0,0,0,0,0,0,0,0,0,0
3969916,0,0,0,0,0,0,0,0,0,0,0,0,0
3969926,0,0,0,0,0,0,0,0,0,0,0,0,0
3969936,0,0,0,0,0,0,0,0,0,0,0,0,0
3969946,0,0,0,0,0,0,0,0,0,0,0,0,0
3969956,0,0,0,0,0,0,0,0,0,0,0,0,0
3969966,0,0,0,0,0,0,0,0,0,0,0,0,0
3969976,0,0,0,0,0,0,0,0,0,0,0,0,0
3969986,0,0,0,0,0,0,0,0,0,0,0,0,0
3969996,0,0,0,0,0,0,0,0,0,0,0,0,0
3970006,0,0,0,0,0,0,0,0,0,0,0,0,0
3970016,0,0,0,0,0,0,0,0,0,0,0,0,0
3970026,0,0,0,0,0,0,0,0,0,0,0,0,0
3970036,0,0,0,0,0,0,0,0,0,0,0,0,0
3970046,0,0,0,0,0,0,0,0,0,0,0,0,0
3970056,0,0,0,0,0,0,0,0,0,0,0,0,0
3970066,0,0,0,0,0,0,0,0,0,0,0,0,0
3970076,0,0,0,0,0,0,0,0,0,0,0,0,0
3970086,0,0,0,0,0,0,0,0,0,0,0,0,0
3970096,0,0,0,0,0,0,0,0,0,0,0,0,0
3970106,0,0,0,0,0,0,0,0,0,0,0,0,0
3970116,0,0,0,0,0,0,0,0,0,0,0,0,0
3970126,0,0,0,0,0,0,0,0,0,0,0,0,0
3970136,0,0,0,0,0,0,0,0,0,0,0,0,0
3970146,0,0,0,0,0,0,0,0,0,0,0,0,0
3970156,0,0,0,0,0,0,0,0,0,0,0,0,0
3970166,0,0,0,0,0,0,0,0,0,0,0,0,0
3970176,0,0,0,0,0,0,0,0,0,0,0,0,0
3970186,0,0,0,0,0,0,0,0,0,0,0,0,0
3970196,0,0,0,0,0,0,0,0,0,0,0,0,0
3970206,0,0,0,0,0,0,0,0,0,0,0,0,0
3970216,0,0,0,0,0,0,0,0,0,0,0,0,0
3970226,0,0,0,0,0,0,0,0,0,0,0,0,0
3970236,0,0,0,0,0,0,0,0,0,0,0,0,0
3970246,0,0,0,0,0,0,0,0,0,0,0,0,0
3970256,0,0,0,0,0,0,0,0,0,0,0,0,0
3970266,0,0,0,0,0,0,0,0,0,0,0,0,0
3970276,0,0,0,0,0,0,0,0,0,0,0,0,0
3970286,0,0,0,0,0,0,0,0,0,0,0,0,0
3970296,0,0,0,0,0,0,0,0,0,0,0,0,0
3970306,0,0,0,0,0,0,0,0,0,0,0,0,0
3970316,0,0,0,0,0,0,0,0,0,0,0,0,0
3970326,0,0,0,0,0,0,0,0,0,0,0,0,0
3970336,0,0,0,0,0,0,0,0,0,0,0,0,0
3970346,0,0,0,0,0,0,0,0,0,0,0,0,0
3970356,0,0,0,0,0,0,0,0,0,0,0,0,0
3970366,0,0,0,0,0,0,0,0,0,0,0,0,0
3970376,0,0,0,0,0,0,0,0,0,0,0,0,0
3970386,0,0,0,0,0,0,0,0,0,0,0,0,0
3970396,0,0,0,0,0,0,0,0,0,0,0,0,0
3970406,0,0,0,0,0,0,0,0,0,0,0,0,0
3970416,0,0,0,0,0,0,0,0,0,0,0,0,0
3970426,0,0,0,0,0,0,0,0,0,0,0,0,0
3970436,0,0,0,0,0,0,0,0,0,0,0,0,0
3970446,0,0,0,0,0,0,0,0,0,0,0,0,0
3970456,0,0,0,0,0,0,0,0,0,0,0,0,0
3970466,0,0,0,0,0,0,0,0,0,0,0,0,0
3970476,0,0,0,0,0,0,0,0,0,0,0,0,0
3970486,0,0,0,0,0,0,0,0,0,0,0,0,0
3970496,0,0,0,0,0,0,0,0,0,0,0,0,0
3970506,0,0,0,0,0,0,0,0,0,0,0,0,0
3970516,0,0,0,0,0,0,0,0,0,0,0,0,0
3970526,0,0,0,0,0,0,0,0,0,0,0,0,0
3970536,0,0,0,0,0,0,0,0,0,0,0,0,0
3970546,0,0,0,0,0,0,0,0,0,0,0,0,0
3970556,0,0,0,0,0,0,0,0,0,0,0,0,0
3970566,0,0,0,0,0,0,0,0,0,0,0,0,0
3970576,0,0,0,0,0,0,0,0,0,0,0,0,0
3970586,0,0,0,0,0,0,0,0,0,0,0,0,0
3970596,0,0,0,0,0,0,0,0,0,0,0,0,0
3970606,0,0,0,0,0,0,0,0,0,0,0,0,0
3970616,0,0,0,0,0,0,0,0,0,0,0,0,0
3970626,0,0,0,0,0,0,0,0,0,0,0,0,0
3970636,0,0,0,0,0,0,0,0,0,0,0,0,0
3970646,0,0,0,0,0,0,0,0,0,0,0,0,0
3970656,0,0,0,0,0,0,0,0,0,0,0,0,0
3970666,0,0,0,0,0,0,0,0,0,0,0,0,0
3970676,0,0,0,0,0,0,0,0,0,0,0,0,0
3970686,0,0,0,0,0,0,0,0,0,0,0,0,0
3970696,0,0,0,0,0,0,0,0,0,0,0,0,0
3970706,0,0,0,0,0,0,0,0,0,0,0,0,0
3970716,0,0,0,0,0,0,0,0,0,0,0,0,0
3970726,0,0,0,0,0,0,0,0,0,0,0,0,0
3970736,0,0,0,0,0,0,0,0,0,0,0,0,0
3970746,0,0,0,0,0,0,0,0,0,0,0,0,0
3970756,0,0,0,0,0,0,0,0,0,0,0,0,0
3970766,0,0,0,0,0,0,0,0,0,0,0,0,0
3970776,0,0,0,0,0,0,0,0,0,0,0,0,0
3970786,0,0,0,0,0,0,0,0,0,0,0,0,0
3970796,0,0,0,0,0,0,0,0,0,0,0,0,0
3970806,0,0,0,0,0,0,0,0,0,0,0,0,0
3970816,0,0,0,0,0,0,0,0,0,0,0,0,0
3970826,0,0,0,0,0,0,0,0,0,0,0,0,0
3970836,0,0,0,0,0,0,0,0,0,0,0,0,0
3970846,0,0,0,0,0,0,0,0,0,0,0,0,0
3970856,0,0,0,0,0,0,0,0,0,0,0,0,0
3970866,0,0,0,0,0,0,0,0,0,0,0,0,0
3970876,0,0,0,0,0,0,0,0,0,0,0,0,0
3970886,0,0,0,0,0,0,0,0,0,0,0,0,0
3970896,0,0,0,0,0,0,0,0,0,0,0,0,0
3970906,0,0,0,0,0,0,0,0,0,0,0,0,0
3970916,0,0,0,0,0,0,0,0,0,0,0,0,0
3970926,0,0,0,0,0,0,0,0,0,0,0,0,0
3970936,0,0,0,0,0,0,0,0,0,0,0,0,0
