time_ms,target_vx,target_vy,target_vr,planned_vx,planned_vy,optflow_body_vx,optflow_body_vy,optflow_kf_vx,optflow_kf_vy,wheel_chassis_vx,wheel_chassis_vy,fused_chassis_vx,fused_chassis_vy,raw_vision_vel_x,raw_vision_vel_y,vision_source,odom_vx,odom_vy
11647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11677,0,0,0,0,0,0,0,0,0,0.001,-0.001,0,0,0,0,0,0,0
11687,0,0,0,0,0,0,0,0,0,0.001,-0.001,0.001,0,0,0,0,0.001,0
11697,0,0,0,0,0,0,0,0,0,0.001,-0.001,0.001,0,0,0,0,0.001,0
11707,0,0,0,0,0,0,0,0,0,0.002,-0.001,0.001,0,0,0,0,0.001,0
11717,0,0,0,0,0,0,0,0,0,0.002,-0.002,0.001,0,0,0,0,0.001,0
11727,0,0,0,0,0,0,0,0,0,0.004,-0.003,0.002,-0.001,0,0,0,0.002,-0.001
11738,0,0,0,0,0,0,0,0,0,0.007,-0.006,0.003,-0.001,0,0,0,0.003,-0.001
11747,0,0,0,0,0,0,0,0,0,0.01,-0.008,0.005,-0.002,0,0,0,0.005,-0.002
11757,0,0,0,0,0,0,0,0,0,0.011,-0.009,0.007,-0.003,0,0,0,0.007,-0.003
11767,0,0,0,0,0,0,0,0,0,0.01,-0.008,0.006,-0.003,0,0,0,0.006,-0.003
11777,0,0,0,0,0,0,0,0,0,0.009,-0.007,0.005,-0.002,0,0,0,0.005,-0.002
11787,0,0,0,0,0,0,0,0,0,0.009,-0.007,0.004,-0.001,0,0,0,0.004,-0.001
11797,0,0,0,0,0,0,0,0,0,0.009,-0.007,0.005,-0.002,0,0,0,0.005,-0.002
11807,0,0,0,0,0,0,0,0,0,0.009,-0.007,0.005,-0.002,0,0,0,0.005,-0.002
11817,0,0,0,0,0,0,0,0,0,0.009,-0.007,0.004,-0.001,0,0,0,0.004,-0.001
11827,0,0,0,0,0,0,0,0,0,0.01,-0.008,0.004,-0.001,0,0,0,0.004,-0.001
11837,0,0,0,0,0,0,0,0,0,0.01,-0.009,0.006,-0.002,0,0,2,0.006,-0.002
11847,0,0,0,0,0,0,0,0,0,0.008,-0.007,0.006,-0.002,0,0,2,0.006,-0.002
11857,0,0,0,0,0,0,0,0,0,0.005,-0.004,0.003,-0.001,0,0,2,0.003,-0.001
11867,0,0,0,0,0,0,0,0,0,0.003,-0.003,0.001,0,0,0,2,0.001,0
11877,0,0,0,0,0,0,0,0,0,0.003,-0.002,0.001,-0.001,0,0,2,0.001,-0.001
